1,38,Discoverer 9,Failure,60,18:51:00,4/02/1960,US Air Force,
2,37,Discoverer 10,Failure,60,20:15:00,19/02/1960,US Air Force,
3,7,Midas 1,Failure,6,17:25:00,26/02/1960,General Dynamics,
4,35,Pioneer 5,Success,56,13:00:00,11/03/1960,US Air Force,
5,35,TIROS-1,Success,55,11:40:00,1/04/1960,US Air Force,
6,36,Transit 1B,Success,61,12:02:00,13/04/1960,US Air Force,
7,17,E-3 n†­2 (Luna-3),Failure,72,15:06:00,15/04/1960,RVSN USSR,
8,37,Discoverer 11,Success,60,20:30:00,15/04/1960,US Air Force,
9,17,E-3 n†­3 (Luna-3),Failure,72,0:00:00,16/04/1960,RVSN USSR,
10,35,Echo 1,Failure,57,9:16:00,13/05/1960,US Air Force,
11,17,Korabl-Sputnik 1,Success,72,0:00:00,15/05/1960,RVSN USSR,
12,7,Midas 2,Success,6,17:36:00,24/05/1960,General Dynamics,
13,36,Transit 2A & GRAB-1,Success,61,5:54:00,22/06/1960,US Air Force,
14,38,Discoverer 12,Failure,60,22:00:00,29/06/1960,US Air Force,
15,17,1K n†­2 (Korabl-Sputnik 2),Failure,72,9:31:00,28/07/1960,RVSN USSR,
16,7,Mercury-Atlas 1 (MA-1),Failure,3,13:13:00,29/07/1960,NASA,
17,37,Discoverer 13,Success,60,20:37:00,10/08/1960,US Air Force,
18,35,Echo 1A,Success,57,9:39:00,12/08/1960,US Air Force,
19,38,Discoverer 14,Success,60,19:57:00,18/08/1960,US Air Force,
20,36,Courier 1A,Failure,61,19:58:00,18/08/1960,US Air Force,
21,17,Korabl-Sputnik 2,Success,72,8:44:00,19/08/1960,RVSN USSR,
22,37,Discoverer 15,Success,60,22:14:00,13/09/1960,US Air Force,
23,5,Pioneer P-30,Failure,2,15:13:00,25/09/1960,General Dynamics,
24,36,Courier 1B,Success,61,17:50:00,4/10/1960,US Air Force,
25,17,1M n†­1 (Marsnik 1),Failure,33,14:27:00,10/10/1960,RVSN USSR,
26,46,Samos 1,Failure,6,20:33:00,11/10/1960,General Dynamics,
27,17,1M n†­2 (Marsnik 2),Failure,33,13:51:00,14/10/1960,RVSN USSR,
