1,Atlas SLV-3,Retired
2,Atlas-D Able,Retired
3,Atlas-D Mercury,Retired
4,Atlas-D OV1,Retired
5,Atlas-E/F OV1,Retired
6,Atlas-LV3 Agena-A,Retired
7,Atlas-LV3 Agena-B,Retired
8,Atlas-LV3 Agena-D,Retired
9,Atlas-LV3C Centaur-A,Retired
10,Atlas-LV3C Centaur-B,Retired
11,Atlas-LV3C Centaur-C,Retired
12,Atlas-LV3C Centaur-D,Retired
13,Atlas-SLV3 Agena-B,Retired
14,Atlas-SLV3 Agena-D,Retired
15,Atlas-SLV3 Burner-2,Retired
16,Atlas-SLV3A Agena-D,Retired
17,Atlas-SLV3C Centaur-D,Retired
18,Black Arrow,Retired
19,Blue Scout II,Retired
20,Cosmos-1 (65S3),Retired
21,Cosmos-2I (63S1),Retired
22,Cosmos-3 (11K65),Retired
23,Cosmos-3M (11K65M),Retired
24,Cosmos-3MRB (65MRB),Retired
25,Delta A,Retired
26,Delta B,Retired
27,Diamant A,Retired
28,Diamant B,Retired
29,Europa 1,Retired
30,Lambda-IV S,Retired
31,Long March 1,Retired
32,Mercury-Redstone,Retired
33,Molniya,Retired
34,Molniya-M /Block L,Retired
35,Molniya-M /Block NVL,Retired
36,Molniya-M /Block NVL,Retired
37,Molniya-M /Block VL,Retired
38,Mu-IV S,Retired
39,N1-L3,Retired
40,Poliot,Retired
41,Proton,Retired
42,Proton K,Retired
43,Proton K/Block D,Retired
44,Redstone Sparta,Retired
45,Saturn I,Retired
46,Saturn IB,Retired
47,Saturn V,Retired
48,Scout B,Retired
49,Scout X-1,Retired
50,Scout X-2,Retired
51,Scout X-2B,Retired
52,Scout X-2M,Retired
53,Scout X-3,Retired
54,Scout X-3M,Retired
55,Scout X-4,Retired
56,Soyuz,Retired
57,Soyuz L,Retired
58,Thor DM-18 Able-II,Retired
59,Thor DM-18 Able-IV,Retired
60,Thor DM-19 Delta,Retired
61,Thor DM-21 Agena-B,Retired
62,Thor DM-21 Agena-D,Retired
63,Thor-DM18 Agena-A,Retired
64,Thor-DM21 Ablestar,Retired
65,Titan II GLV,Retired
66,Titan III(23)B,Retired
67,Titan III(23)C,Retired
68,Titan IIIA,Retired
69,Titan IIIB,Retired
70,Titan IIIC,Retired
71,Tsyklon,Retired
72,Tsyklon-2,Retired
73,Tsyklon-2A,Retired
74,Voskhod,Retired
75,Vostok,Retired
76,Vostok-2,Retired
77,Vostok-2A,Retired
78,Vostok-2M,Retired
